engine_id,cycle,altitude_m,flight_phase,ambient_temp_C,ambient_pressure_kPa,throttle_pct,rpm,manifold_pressure_kPa,EGT_C,CHT_C,oil_temp_C,oil_pressure_kPa,fuel_flow_Lph,vibration_g_rms,fault_mode,RUL_cycles
1,17,2403.5,climb,0.77,75.66,85.6,5084,68.4,797.5,190.5,107.8,394.4,20.29,1.341,cylinder_wear,173
1,18,2553.7,climb,-1.02,74.26,82.0,4947,65.95,782.8,195.0,104.1,405.1,20.21,1.27,cylinder_wear,172
1,19,2704.0,climb,-2.81,72.53,87.1,5046,66.21,793.7,185.5,108.8,396.3,20.78,1.313,cylinder_wear,171
1,20,2854.2,climb,-3.61,71.37,87.0,5016,65.39,784.9,192.5,105.0,408.9,19.54,1.273,cylinder_wear,170
1,21,3004.4,climb,-5.51,70.02,86.2,5114,63.71,791.8,189.3,106.1,396.4,20.36,1.28,cylinder_wear,169
1,22,3154.6,climb,-4.84,68.86,86.7,5141,63.31,789.3,195.4,106.1,388.1,20.71,1.231,cylinder_wear,168
1,23,3304.9,climb,-7.16,67.73,85.9,5023,62.66,783.1,190.3,109.8,385.2,19.85,1.185,cylinder_wear,167
1,24,3455.1,climb,-9.3,65.83,91.1,5188,63.64,792.9,196.1,108.9,393.1,20.81,1.295,cylinder_wear,166
1,25,3605.3,climb,-10.35,64.84,84.7,5024,58.69,783.7,192.9,106.5,390.2,19.07,1.286,cylinder_wear,165
1,26,3755.5,climb,-9.15,64.07,84.1,5032,58.01,781.7,196.1,107.8,401.9,19.89,1.221,cylinder_wear,164
1,27,3754.0,cruise,-7.03,63.42,62.7,4256,46.88,764.1,178.3,98.3,406.3,16.37,1.167,cylinder_wear,163
1,28,3752.9,cruise,-9.15,63.4,61.9,4173,47.59,751.8,179.5,102.3,424.2,16.76,1.159,cylinder_wear,162
1,29,3753.0,cruise,-9.57,63.71,61.3,4113,48.58,750.0,173.6,106.2,386.6,15.97,1.039,cylinder_wear,161
1,30,3752.8,cruise,-8.96,63.91,62.3,4133,49.09,740.4,182.2,102.7,406.4,16.96,1.104,cylinder_wear,160
1,31,3752.7,cruise,-7.43,63.66,64.8,4262,49.27,751.1,177.7,103.1,395.3,17.49,1.19,cylinder_wear,159
1,32,3752.1,cruise,-9.06,64.06,66.0,4296,50.75,756.6,179.0,104.3,398.9,16.94,1.194,cylinder_wear,158
1,33,3752.8,cruise,-10.01,63.91,65.2,4235,49.89,752.9,180.1,104.8,403.3,16.68,1.108,cylinder_wear,157
1,34,3753.4,cruise,-7.74,63.9,62.7,4265,49.57,761.9,174.2,98.5,391.1,15.93,1.178,cylinder_wear,156
1,35,3753.4,cruise,-8.75,63.81,67.7,4444,50.67,759.7,182.3,100.2,409.7,17.39,1.248,cylinder_wear,155
1,36,3754.3,cruise,-7.1,64.34,67.2,4400,50.23,767.7,184.2,103.9,418.6,17.19,1.229,cylinder_wear,154
1,37,3754.7,cruise,-9.13,63.57,64.5,4215,49.21,756.6,180.7,101.5,402.6,16.43,1.157,cylinder_wear,153
1,38,3754.0,cruise,-11.24,63.04,63.0,4230,44.93,754.4,174.3,105.2,403.8,17.02,1.141,cylinder_wear,152
1,39,3754.3,cruise,-11.46,64.12,66.6,4358,50.56,758.7,180.7,102.7,413.0,17.17,1.152,cylinder_wear,151
1,40,3753.6,cruise,-6.92,63.51,65.6,4309,45.6,757.8,182.7,99.2,407.6,16.77,1.2,cylinder_wear,150
1,41,3754.3,cruise,-6.82,63.67,60.7,4155,45.62,761.2,172.1,99.6,403.8,16.29,1.163,cylinder_wear,149
1,42,3754.2,cruise,-9.67,64.03,64.8,4288,49.79,742.8,176.8,97.5,392.8,17.52,1.205,cylinder_wear,148
1,43,3754.1,cruise,-9.98,63.16,65.8,4329,49.55,746.1,183.2,102.7,409.9,17.47,1.186,cylinder_wear,147
1,44,3753.5,cruise,-7.21,63.27,62.3,4193,46.56,750.0,179.4,102.1,404.6,16.69,1.2,cylinder_wear,146
1,45,3754.5,cruise,-11.06,63.16,65.6,4305,48.26,758.0,181.7,102.3,397.2,17.45,1.181,cylinder_wear,145
1,46,3754.4,cruise,-10.75,63.4,60.6,4033,48.5,755.2,183.3,104.3,403.9,16.05,1.174,cylinder_wear,144
1,47,3754.0,cruise,-8.44,63.77,69.0,4426,50.39,765.6,183.7,106.2,395.9,17.7,1.237,cylinder_wear,143
1,48,3753.8,cruise,-9.99,63.8,68.7,4390,53.03,760.1,184.2,103.4,399.7,17.71,1.148,cylinder_wear,142
1,49,3754.2,cruise,-9.41,63.72,64.2,4190,48.86,762.3,187.8,98.6,414.6,16.83,1.068,cylinder_wear,141
1,50,3754.5,cruise,-9.65,63.21,66.1,4379,49.64,764.9,180.1,104.5,391.9,17.45,1.264,cylinder_wear,140
1,51,3754.8,cruise,-8.9,62.94,57.8,4064,47.23,748.2,173.7,102.7,413.2,15.8,1.152,cylinder_wear,139
1,52,3755.2,cruise,-7.3,63.65,61.5,4193,47.81,758.2,179.5,102.9,393.3,16.84,1.073,cylinder_wear,138
1,53,3756.9,cruise,-9.28,63.48,64.1,4247,47.61,757.7,180.9,104.8,397.0,17.22,1.131,cylinder_wear,137
1,54,3756.5,cruise,-8.45,63.76,61.8,4202,47.75,749.5,176.8,100.0,423.4,15.51,1.199,cylinder_wear,136
1,55,3756.1,cruise,-12.49,63.84,67.1,4352,50.11,764.5,178.2,107.4,408.1,17.9,1.169,cylinder_wear,135
1,56,3755.5,cruise,-9.48,63.67,71.0,4506,50.24,766.4,190.3,102.3,406.0,16.75,1.18,cylinder_wear,134
1,57,3756.0,cruise,-10.68,63.85,61.5,4092,47.55,752.5,179.2,103.8,395.9,16.39,1.214,cylinder_wear,133
1,58,3756.9,cruise,-11.25,63.69,62.5,4190,47.36,762.7,176.5,99.1,404.8,17.19,1.106,cylinder_wear,132
1,59,3756.8,cruise,-10.74,63.78,65.7,4299,50.42,743.7,183.3,101.3,407.0,17.1,1.135,cylinder_wear,131
1,60,3756.1,cruise,-9.92,63.41,69.8,4402,50.95,755.7,182.4,107.0,399.9,17.22,1.201,cylinder_wear,130
1,61,3755.5,cruise,-8.04,63.58,61.3,4129,47.25,745.2,177.3,101.7,405.2,16.18,1.169,cylinder_wear,129
1,62,3756.0,cruise,-11.4,63.68,65.7,4295,49.33,756.4,182.2,104.8,402.0,17.64,1.199,cylinder_wear,128
1,63,3756.6,cruise,-9.37,63.87,70.5,4550,51.76,763.7,179.2,104.6,400.8,17.13,1.258,cylinder_wear,127
1,64,3757.0,cruise,-10.15,63.5,60.0,4117,47.56,741.6,178.4,101.8,394.3,16.89,1.158,cylinder_wear,126
1,65,3756.5,cruise,-9.91,63.78,61.2,4124,46.61,746.3,183.7,105.0,397.9,16.57,1.173,cylinder_wear,125
1,66,3756.7,cruise,-7.91,63.54,63.7,4232,47.45,750.7,180.8,102.3,412.6,16.48,1.152,cylinder_wear,124
1,67,3756.7,cruise,-8.61,63.58,63.4,4212,49.51,770.2,178.1,99.1,398.1,16.68,1.165,cylinder_wear,123
1,68,3756.9,cruise,-7.41,63.87,67.4,4355,49.87,771.9,179.9,101.9,404.2,17.07,1.189,cylinder_wear,122
1,69,3757.6,cruise,-9.66,63.01,65.7,4254,47.49,756.2,179.3,104.2,396.3,17.58,1.179,cylinder_wear,121
1,70,3757.8,cruise,-10.47,63.22,59.7,4062,47.02,748.1,176.4,102.7,405.6,16.68,1.178,cylinder_wear,120
1,71,3758.3,cruise,-9.77,63.16,66.5,4299,49.82,753.0,179.8,100.2,404.7,16.66,1.203,cylinder_wear,119
1,72,3758.4,cruise,-9.07,62.91,63.3,4154,46.28,743.9,181.9,101.2,418.4,16.73,1.155,cylinder_wear,118
1,73,3758.6,cruise,-9.17,63.4,68.8,4436,50.71,762.4,177.0,102.6,408.9,17.32,1.155,cylinder_wear,117
1,74,3759.1,cruise,-11.06,63.82,63.1,4214,49.18,749.2,181.7,101.9,395.2,17.39,1.165,cylinder_wear,116
1,75,3758.0,cruise,-9.29,63.52,63.1,4126,48.58,754.7,177.9,99.9,413.5,16.33,1.147,cylinder_wear,115
1,76,3757.7,cruise,-9.08,63.67,66.6,4327,50.41,750.5,182.1,102.1,399.3,18.0,1.189,cylinder_wear,114
1,77,3757.3,cruise,-5.65,63.94,67.3,4397,48.86,756.5,178.0,102.0,401.0,17.44,1.3,cylinder_wear,113
1,78,3756.8,cruise,-6.6,64.02,66.3,4363,50.26,760.7,184.8,104.8,404.7,16.86,1.158,cylinder_wear,112
1,79,3756.6,cruise,-10.7,63.6,59.9,4119,46.65,753.1,181.1,103.6,399.7,16.16,1.169,cylinder_wear,111
1,80,3757.8,cruise,-9.86,64.02,66.6,4333,49.56,762.7,183.9,103.0,411.5,17.04,1.233,cylinder_wear,110
1,81,3757.1,cruise,-11.62,63.64,61.9,4118,48.67,745.7,173.9,101.6,399.9,16.19,1.153,cylinder_wear,109
1,82,3757.9,cruise,-10.31,63.36,65.7,4253,50.63,764.1,183.0,103.4,398.9,17.28,1.285,cylinder_wear,108
1,83,3756.5,cruise,-8.94,63.44,60.7,4121,48.96,747.3,179.0,100.5,402.1,16.05,1.129,cylinder_wear,107
1,84,3756.3,cruise,-7.61,63.18,66.3,4336,50.58,763.7,176.0,101.0,402.3,16.46,1.197,cylinder_wear,106
1,85,3756.4,cruise,-10.51,63.36,62.6,4230,47.75,754.6,178.7,100.6,416.0,16.65,1.124,cylinder_wear,105
1,86,3756.9,cruise,-10.4,63.51,61.2,4168,47.74,744.5,179.1,101.0,411.9,15.88,1.138,cylinder_wear,104
1,87,3757.4,cruise,-12.64,63.85,67.1,4346,50.89,759.2,183.0,101.1,420.4,17.14,1.194,cylinder_wear,103
1,88,3758.1,cruise,-9.67,64.12,65.7,4248,49.87,761.4,181.0,103.5,422.0,16.88,1.209,cylinder_wear,102
1,89,3757.8,cruise,-11.02,63.2,63.2,4187,48.1,759.3,180.0,104.1,394.8,16.54,1.174,cylinder_wear,101
1,90,3757.4,cruise,-10.22,63.73,69.4,4444,51.77,763.5,186.9,100.7,407.7,18.55,1.26,cylinder_wear,100
1,91,3758.1,cruise,-10.74,63.3,63.7,4212,48.2,765.6,183.1,102.8,395.2,16.98,1.157,cylinder_wear,99
1,92,3758.0,cruise,-9.57,63.75,65.1,4251,48.46,764.4,171.6,102.6,398.7,17.26,1.151,cylinder_wear,98
1,93,3756.9,cruise,-12.06,63.58,65.8,4311,48.94,757.9,179.6,103.8,398.3,16.55,1.312,cylinder_wear,97
1,94,3756.0,cruise,-11.61,63.08,63.1,4179,48.5,760.2,178.6,102.6,396.4,16.62,1.177,cylinder_wear,96
1,95,3755.3,cruise,-6.22,63.91,66.4,4299,49.86,771.9,175.6,100.4,399.1,17.43,1.139,cylinder_wear,95
1,96,3755.7,cruise,-11.34,63.45,63.4,4222,48.59,767.9,179.5,100.2,406.7,16.51,1.129,cylinder_wear,94
1,97,3755.8,cruise,-11.06,63.47,63.8,4207,49.09,749.3,183.2,102.8,394.9,17.34,1.114,cylinder_wear,93
1,98,3756.4,cruise,-6.66,63.3,69.1,4435,50.1,758.6,179.1,105.9,407.7,17.24,1.242,cylinder_wear,92
1,99,3756.0,cruise,-5.06,63.43,61.9,4162,48.36,763.0,179.4,97.9,403.1,16.6,1.136,cylinder_wear,91
1,100,3756.1,loiter,-11.17,63.75,47.8,3569,42.38,728.0,167.9,100.2,430.2,14.5,1.072,cylinder_wear,90
1,101,3756.6,loiter,-9.97,63.56,59.8,4054,45.63,743.3,175.3,104.3,399.2,16.49,1.135,cylinder_wear,89
1,102,3756.4,loiter,-8.9,63.72,62.6,4238,49.59,752.3,183.3,102.2,405.9,16.56,1.202,cylinder_wear,88
1,103,3756.8,loiter,-6.83,63.73,53.8,3797,43.97,745.4,172.3,101.9,395.4,15.47,1.057,cylinder_wear,87
1,104,3756.2,loiter,-10.9,64.02,49.2,3585,41.11,735.8,172.8,98.4,423.5,14.84,1.014,cylinder_wear,86
1,105,3755.9,loiter,-9.78,63.52,54.1,3780,43.4,739.4,168.5,100.6,416.3,15.33,1.108,cylinder_wear,85
1,106,3755.6,loiter,-8.25,63.19,54.1,3859,43.22,739.4,179.7,97.6,413.3,15.82,1.139,cylinder_wear,84
1,107,3754.7,loiter,-8.75,63.96,54.4,3870,44.95,739.6,176.1,96.2,401.8,15.77,1.127,cylinder_wear,83
1,108,3755.1,loiter,-9.97,63.53,51.7,3758,43.18,734.7,172.2,102.2,407.0,15.25,1.053,cylinder_wear,82
1,109,3754.7,loiter,-9.61,63.97,56.7,4005,45.53,760.8,177.3,99.4,399.8,15.82,1.165,cylinder_wear,81
1,110,3754.7,loiter,-11.47,63.75,56.6,3843,46.26,748.7,171.3,100.4,419.2,16.29,1.069,cylinder_wear,80
1,111,3755.1,loiter,-9.77,63.59,50.5,3735,43.36,743.8,175.7,97.3,417.7,15.03,1.064,cylinder_wear,79
1,112,3755.4,loiter,-9.81,63.73,57.1,4032,46.16,744.8,174.8,98.6,410.4,15.92,1.088,cylinder_wear,78
1,113,3756.0,loiter,-9.07,64.21,61.2,4079,48.29,752.3,177.4,101.9,386.2,16.66,1.207,cylinder_wear,77
1,114,3755.9,loiter,-10.25,64.25,55.5,3894,46.17,741.3,173.4,99.6,400.6,16.5,1.146,cylinder_wear,76
1,115,3755.6,loiter,-8.7,63.65,54.0,3821,42.39,727.5,172.3,101.6,411.6,15.08,1.133,cylinder_wear,75
1,116,3755.5,loiter,-7.89,63.68,54.6,3838,44.39,736.0,176.5,101.8,415.5,16.0,1.168,cylinder_wear,74
1,117,3754.1,loiter,-9.17,63.96,56.8,3947,43.72,736.6,176.4,102.0,414.5,15.26,1.263,cylinder_wear,73
1,118,3753.0,loiter,-8.87,63.4,49.8,3750,42.63,724.1,173.7,100.4,394.7,15.11,1.007,cylinder_wear,72
1,119,3751.9,loiter,-9.31,63.76,55.5,3982,45.19,738.4,174.9,104.3,405.3,16.45,1.09,cylinder_wear,71
1,120,3751.1,loiter,-9.38,63.66,53.8,3832,45.47,751.3,175.5,98.6,417.8,15.79,1.074,cylinder_wear,70
1,121,3751.5,loiter,-10.47,63.76,60.5,4177,48.47,752.5,176.4,102.0,392.3,16.6,1.114,cylinder_wear,69
1,122,3750.7,loiter,-8.9,63.42,54.5,3872,44.73,752.1,181.0,103.2,404.1,15.46,1.057,cylinder_wear,68
1,123,3750.4,loiter,-9.52,63.19,60.0,4150,46.13,754.6,172.7,104.5,404.8,16.47,1.138,cylinder_wear,67
1,124,3751.5,loiter,-6.24,63.04,51.7,3760,43.6,745.2,176.6,97.5,408.6,15.2,1.033,cylinder_wear,66
1,125,3751.2,loiter,-7.02,63.33,56.8,3962,44.87,742.3,179.7,100.7,392.3,15.69,1.141,cylinder_wear,65
1,126,3751.8,loiter,-8.81,63.52,56.0,3941,45.2,749.8,172.6,103.9,400.7,15.78,1.124,cylinder_wear,64
1,127,3751.0,loiter,-10.53,63.58,52.4,3918,44.75,746.2,179.9,101.5,403.6,15.48,1.142,cylinder_wear,63
1,128,3750.9,loiter,-11.05,64.25,55.5,3944,44.97,742.8,177.9,101.5,405.0,15.53,1.147,cylinder_wear,62
1,129,3750.1,loiter,-7.59,64.01,58.6,4000,47.45,754.1,179.5,101.3,401.9,15.96,1.16,cylinder_wear,61
1,130,3749.8,loiter,-8.98,63.39,54.0,3892,44.96,747.8,174.2,100.0,404.4,15.09,1.095,cylinder_wear,60
1,131,3750.5,loiter,-8.66,63.78,49.9,3683,41.9,735.5,171.2,100.6,407.0,15.22,1.188,cylinder_wear,59
1,132,3749.1,loiter,-11.99,63.56,54.9,3868,45.75,739.3,174.0,100.5,411.0,15.99,1.122,cylinder_wear,58
1,133,3749.5,loiter,-7.98,63.59,52.3,3823,44.39,735.3,174.3,100.4,405.1,15.49,1.01,cylinder_wear,57
1,134,3749.7,loiter,-8.69,63.73,54.0,3852,44.58,745.5,178.3,101.0,403.6,16.03,1.058,cylinder_wear,56
1,135,3749.2,loiter,-11.04,63.87,54.8,3892,44.13,748.2,175.0,99.6,409.2,15.79,1.027,cylinder_wear,55
1,136,3748.0,loiter,-10.07,63.59,49.9,3696,41.82,734.8,169.1,101.0,391.4,15.23,1.085,cylinder_wear,54
1,137,3748.1,loiter,-8.97,64.01,50.2,3719,42.52,740.3,174.4,105.9,404.8,15.24,1.082,cylinder_wear,53
1,138,3747.7,loiter,-9.28,63.35,56.4,3962,45.74,752.6,178.2,97.7,410.7,15.96,1.101,cylinder_wear,52
1,139,3747.8,loiter,-9.8,63.69,53.4,3753,43.23,748.9,175.7,101.3,406.7,15.37,1.193,cylinder_wear,51
1,140,3747.9,loiter,-9.52,64.47,47.3,3624,42.59,746.1,172.6,97.9,418.2,15.61,1.101,cylinder_wear,50
1,141,3749.1,loiter,-9.75,63.75,57.4,3940,44.59,758.8,175.1,102.6,389.2,15.96,1.157,cylinder_wear,49
1,142,3749.0,loiter,-9.14,64.11,55.8,3863,45.24,743.2,172.3,101.3,390.7,15.66,1.063,cylinder_wear,48
1,143,3748.1,loiter,-7.16,63.72,52.9,3806,44.04,755.5,170.8,102.1,407.7,15.69,1.051,cylinder_wear,47
1,144,3748.3,loiter,-13.21,63.86,51.0,3743,45.71,739.9,167.5,102.6,404.9,15.37,1.093,cylinder_wear,46
1,145,3748.5,loiter,-9.72,63.67,57.5,3958,44.42,758.7,176.7,101.9,407.1,15.62,1.132,cylinder_wear,45
1,146,3749.5,loiter,-9.11,63.63,56.0,3963,46.62,751.1,175.0,103.5,400.1,16.43,1.032,cylinder_wear,44
1,147,3750.2,loiter,-8.93,63.44,62.1,4108,47.67,757.0,177.2,97.7,416.0,16.81,1.137,cylinder_wear,43
1,148,3750.5,loiter,-9.94,63.8,56.3,3922,45.74,740.7,166.5,104.4,410.1,15.58,1.119,cylinder_wear,42
1,149,3751.7,loiter,-12.02,63.41,56.2,3911,45.11,750.7,171.5,102.0,409.5,16.49,1.106,cylinder_wear,41
1,150,3750.7,loiter,-8.89,63.87,54.5,3869,45.07,740.4,177.7,103.1,402.2,16.04,1.07,cylinder_wear,40
1,151,3750.2,loiter,-6.79,64.0,57.5,3994,45.77,760.1,174.0,99.1,392.3,15.7,1.102,cylinder_wear,39
1,152,3749.5,loiter,-11.67,63.79,56.9,3921,46.98,762.9,176.7,99.7,414.5,16.85,1.109,cylinder_wear,38
1,153,3749.1,loiter,-8.07,63.6,58.8,4062,45.69,752.0,172.5,102.0,415.3,16.67,1.144,cylinder_wear,37
1,154,3748.0,loiter,-9.86,63.83,53.4,3833,45.22,751.6,178.1,100.7,412.4,15.67,1.135,cylinder_wear,36
1,155,3748.6,loiter,-9.46,63.59,53.7,3765,43.37,746.2,173.5,101.3,399.4,16.35,1.149,cylinder_wear,35
1,156,3748.4,loiter,-10.94,63.97,53.6,3757,44.15,747.0,174.7,102.9,409.9,15.77,1.079,cylinder_wear,34
1,157,3747.2,loiter,-9.86,63.15,57.4,3980,44.11,761.1,182.9,97.9,417.4,16.23,1.104,cylinder_wear,33
1,158,3746.4,loiter,-7.4,63.6,59.5,4052,46.83,759.7,181.7,103.8,415.9,16.28,1.16,cylinder_wear,32
1,159,3746.6,loiter,-8.48,63.11,53.6,3834,45.02,762.6,173.0,100.7,400.1,15.97,1.136,cylinder_wear,31
1,160,3747.3,loiter,-6.76,63.25,53.7,3840,43.62,749.8,172.1,100.3,405.8,15.95,1.084,cylinder_wear,30
1,161,3748.9,loiter,-7.6,64.09,55.9,3935,45.0,762.3,174.2,98.2,416.1,16.08,1.16,cylinder_wear,29
1,162,3751.2,loiter,-8.72,63.93,54.3,3900,43.25,755.0,175.7,101.9,406.2,15.54,1.164,cylinder_wear,28
1,163,3751.6,loiter,-6.77,63.45,57.9,3954,45.25,764.7,175.9,96.7,403.0,16.42,1.188,cylinder_wear,27
1,164,3750.8,loiter,-8.72,63.22,48.2,3586,39.75,744.3,169.7,100.9,410.2,15.0,1.157,cylinder_wear,26
1,165,3749.1,loiter,-8.13,62.79,52.5,3752,41.87,753.2,177.7,97.5,415.6,15.1,1.049,cylinder_wear,25
1,166,3749.3,loiter,-9.82,63.52,52.7,3812,43.54,753.5,173.0,100.6,407.9,15.08,1.103,cylinder_wear,24
1,167,3748.6,loiter,-9.27,64.41,48.0,3675,43.3,743.3,177.7,99.4,410.5,15.26,1.082,cylinder_wear,23
1,168,3748.3,loiter,-10.41,63.82,52.1,3763,46.06,758.5,173.3,102.8,402.6,14.57,1.09,cylinder_wear,22
1,169,3747.8,loiter,-7.88,63.53,52.3,3686,42.5,759.2,178.5,100.1,419.7,15.72,1.05,cylinder_wear,21
1,170,3747.7,loiter,-11.13,63.83,54.4,3799,45.6,762.4,175.4,99.5,401.4,15.76,1.026,cylinder_wear,20
1,171,3748.6,loiter,-8.19,63.22,58.3,3984,45.57,774.2,179.4,100.7,402.5,17.04,1.132,cylinder_wear,19
1,172,3748.7,loiter,-9.65,63.6,54.3,3840,43.74,768.6,172.0,103.4,404.0,15.76,1.068,cylinder_wear,18
1,173,3748.7,descent,-7.61,63.72,21.9,2616,30.98,713.0,153.9,95.5,420.5,11.7,0.927,cylinder_wear,17
1,174,3528.2,descent,-6.81,65.5,24.8,2745,32.71,723.0,159.7,94.2,403.0,11.7,0.902,cylinder_wear,16
1,175,3307.7,descent,-3.77,67.65,28.1,2857,35.29,723.2,163.5,95.2,403.3,12.38,0.904,cylinder_wear,15
1,176,3087.1,descent,-3.97,69.44,22.1,2681,32.95,720.1,157.6,91.3,402.2,11.79,0.944,cylinder_wear,14
1,177,2866.6,descent,-5.99,71.51,22.3,2619,33.05,718.2,154.1,95.2,414.0,11.35,0.93,cylinder_wear,13
1,178,2646.1,descent,-2.3,73.11,26.7,2779,35.76,739.3,156.6,91.8,408.9,12.57,0.976,cylinder_wear,12
1,179,2425.6,descent,-2.52,75.65,24.3,2744,38.11,730.0,155.5,96.4,409.3,11.45,1.051,cylinder_wear,11
1,180,2205.1,descent,-0.11,77.98,26.9,2762,39.65,731.8,156.2,95.6,418.5,12.35,0.958,cylinder_wear,10
1,181,1984.6,descent,4.37,79.36,25.0,2764,39.0,739.1,161.1,99.8,403.1,12.34,0.969,cylinder_wear,9
1,182,1764.1,descent,4.49,81.59,27.1,2834,41.86,723.5,165.6,93.2,418.0,12.54,0.901,cylinder_wear,8
1,183,1543.6,descent,3.92,84.51,21.9,2626,41.29,718.8,159.7,94.2,412.6,12.33,0.86,cylinder_wear,7
1,184,1323.1,descent,4.88,86.35,25.0,2812,43.27,741.6,155.0,98.6,415.1,11.7,1.031,cylinder_wear,6
1,185,1102.6,landing,7.88,89.18,19.4,2511,40.61,731.0,158.4,96.3,416.3,10.69,0.86,cylinder_wear,5
1,186,882.0,landing,7.44,91.04,16.4,2504,41.56,729.6,157.2,91.9,412.2,10.44,0.853,cylinder_wear,4
1,187,661.5,landing,9.69,94.06,15.3,2373,42.62,720.3,163.7,93.5,414.4,10.97,0.884,cylinder_wear,3
1,188,441.0,landing,12.6,96.18,22.1,2587,46.67,739.3,157.1,94.4,423.1,11.86,0.914,cylinder_wear,2
1,189,220.5,landing,15.3,98.78,18.9,2523,46.4,748.8,158.9,94.4,417.9,11.28,0.863,cylinder_wear,1
1,190,0.0,landing,15.91,101.79,16.9,2400,46.73,740.6,164.4,92.0,406.4,10.53,0.875,cylinder_wear,0
2,1,0.0,taxi,17.03,101.4,12.3,2243,46.36,702.1,159.1,92.8,396.7,9.96,0.858,cooling_degradation,497
2,2,93.5,taxi,16.59,100.37,18.2,2519,47.57,703.8,158.7,92.2,408.7,10.77,0.85,cooling_degradation,496
2,3,186.9,taxi,12.56,99.09,14.8,2323,43.11,695.7,157.6,93.8,414.9,9.68,0.971,cooling_degradation,495
2,4,280.4,taxi,13.11,98.13,21.1,2615,47.74,712.3,160.9,97.1,412.0,11.35,0.921,cooling_degradation,494
2,5,373.9,taxi,12.71,96.7,15.1,2405,43.43,700.7,157.9,90.4,433.0,10.59,0.887,cooling_degradation,493
2,6,467.3,taxi,10.48,95.95,12.2,2261,42.05,686.7,157.5,90.2,424.4,9.79,0.849,cooling_degradation,492
2,7,560.8,taxi,11.27,94.97,18.7,2550,46.61,701.9,167.1,92.8,417.3,10.02,0.972,cooling_degradation,491
2,8,654.3,taxi,10.76,93.51,16.9,2430,43.38,700.5,158.9,92.5,416.7,10.32,0.868,cooling_degradation,490
2,9,747.7,taxi,11.85,92.67,17.2,2444,42.25,698.0,160.4,97.5,419.9,10.48,0.819,cooling_degradation,489
2,10,841.2,takeoff,11.34,91.43,98.6,5507,91.37,823.5,197.9,111.7,389.2,21.34,1.322,cooling_degradation,488
2,11,934.6,takeoff,8.43,90.43,93.0,5376,85.64,809.4,198.4,110.5,394.3,20.88,1.403,cooling_degradation,487
2,12,1028.1,takeoff,8.0,89.23,94.6,5365,85.08,816.6,204.2,108.4,389.2,20.68,1.376,cooling_degradation,486
2,13,1121.6,takeoff,8.71,88.94,94.5,5404,83.99,809.4,201.6,108.4,409.3,21.47,1.328,cooling_degradation,485
2,14,1215.0,takeoff,6.22,87.87,91.1,5260,81.24,803.2,185.2,105.4,404.7,20.82,1.388,cooling_degradation,484
2,15,1308.5,takeoff,7.38,86.72,94.2,5338,82.56,801.0,201.9,110.4,389.8,20.53,1.368,cooling_degradation,483
2,16,1402.0,takeoff,5.76,86.17,99.0,5538,84.44,813.1,208.2,110.8,394.1,22.0,1.347,cooling_degradation,482
